Date,Time,Relative_time,QCM_6_temperature,QCM_6_frequency,QCM_6_dissipation,QCM_1_temperature,QCM_1_frequency,QCM_1_dissipation
2020-08-28,19:17:49.475,00.000,31.31,9978080,0,29.06,10005720,0
2020-08-28,19:17:56.125,6.650,31.38,9978040,0,29.06,10005760,0
2020-08-28,19:18:02.782,13.307,31.38,9978000,0,29.06,10005760,0
